Features,Labels,Encoded Labels
scm line eventing,3.0-4.0,Task4
scm line eventing,4.0-7.0,Task5
scm line eventing,4.0-7.0,Task5
scm line eventing,3.0-4.0,Task4
saving notes in xml notes component,0.0-1.0,Task1
search eating mb of memory on searching box showing,0.0-1.0,Task1
error view causes exception,0.0-1.0,Task1
new items not flushing primary keys to child tables on save,2.0-3.0,Task3
staff management matters,0.0-1.0,Task1
writing specification for sp generator,1.0-2.0,Task2
getting the raw data for synd  ,1.0-2.0,Task2
scms healthcheck report vs,10.0-23.0,Task7
need to clean up the doc tables,0.0-1.0,Task1
when updating a task work date recalculate the effort work started date,1.0-2.0,Task2
release task system v,1.0-2.0,Task2
concurrency error fails to inform user  simple save failed message only,0.0-1.0,Task1
release task system v,0.0-1.0,Task1
user filtering failing,0.0-1.0,Task1
reference data causes error when closed,0.0-1.0,Task1
 scm validation successful run,0.0-1.0,Task1
scm splitting  not saving the movt os ind during eventing,7.0-10.0,Task6
scm splitting  not saving the movt os ind during eventing,7.0-10.0,Task6
batch stored procedures to create tasks from template tasks,10.0-23.0,Task7
batch stored procedures to create tasks from template tasks,10.0-23.0,Task7
 event splits not matching back to the raw data,23.0-100.0,Task8
 event splits not matching back to the raw data,23.0-100.0,Task8
 event splits not matching back to the raw data,23.0-100.0,Task8
new currency for romania  ron,0.0-1.0,Task1
task check out area needs setting to sipapplications,0.0-1.0,Task1
plan shadow problem on being clicked,0.0-1.0,Task1
delete tasks for  ,0.0-1.0,Task1
raised by users missing,0.0-1.0,Task1
general staff filing references for  ,0.0-1.0,Task1
only the user who entered the effort should be able to update the effort,0.0-1.0,Task1
event maintainence title too long for tree view  adjust title to fit,0.0-1.0,Task1
event screen  change layout load bo on double click,3.0-4.0,Task4
add to filrer search fields for claims summary grossnet report,0.0-1.0,Task1
sipframeworkform can no longer be viewed in design mode,0.0-1.0,Task1
add block search,4.0-7.0,Task5
alter rs security extension to handle exports correctly,4.0-7.0,Task5
conversion data of completed tasks with finished effort rows need the status set to finiished,0.0-1.0,Task1
management filing etc,0.0-1.0,Task1
warehouse not including usm ri stats,1.0-2.0,Task2
document system  files identical message will not allow check in,1.0-2.0,Task2
clicking on plan tab marks a task as dirty,0.0-1.0,Task1
task search  category and subcategory need to search in text not codes,0.0-1.0,Task1
remove creating the siptracelogcsv file when in release mode,0.0-1.0,Task1
release new version of technical core into souresafe,1.0-2.0,Task2
lookup buttons not working in any form,4.0-7.0,Task5
templates always loading first version,0.0-1.0,Task1
knowledge base need an attached templates tab,23.0-100.0,Task8
knowledge base need an attached templates tab,23.0-100.0,Task8
release task system,0.0-1.0,Task1
move the uwrcorrection menu item further down to reflect usage change the merge order,0.0-1.0,Task1
dclickling the lstfields list  ,0.0-1.0,Task1
add an execute button to the block search screen,2.0-3.0,Task3
add an execute button to the block search screen,2.0-3.0,Task3
write action plan of how to add search functionality,0.0-1.0,Task1
autosearch functionality failing on look ups,0.0-1.0,Task1
 run and monitor conversion  needed for parallel running,7.0-10.0,Task6
scm split delete  save fails,0.0-1.0,Task1
test and debug new warehouse,23.0-100.0,Task8
add the add new functionality to the uwr corrections menu,3.0-4.0,Task4
if you add an effort entry retrospectively it all turns readonly before you can fill it in,0.0-1.0,Task1
security extension blocks all subscriptions,3.0-4.0,Task4
release new warehouse,10.0-23.0,Task7
conversion scripts general preliminary work,3.0-4.0,Task4
merge   changes to uwrcorrection history to scms,2.0-3.0,Task3
access to the uwr correction maintenance  event maintenance forms,7.0-10.0,Task6
access to the uwr correction maintenance  event maintenance forms,7.0-10.0,Task6
uwr correction  open bo when double click and fix memory leak,23.0-100.0,Task8
uwr correction  open bo when double click and fix memory leak,23.0-100.0,Task8
fix the combo boxes in scms usm,7.0-10.0,Task6
fix the combo boxes in scms usm,7.0-10.0,Task6
divide by zero error in all warehouses except ,0.0-1.0,Task1
import shared base tables into loaderready database,3.0-4.0,Task4
import simple syndicatespecific data,2.0-3.0,Task3
add extra toolbar button on task system for new task,0.0-1.0,Task1
event code entry needs to refresh cache,3.0-4.0,Task4
assasin bug icon no longer part of task system title bar,0.0-1.0,Task1
working on errors found in usm  conversion,4.0-7.0,Task5
 snapshot database creation,10.0-23.0,Task7
form titles in diary events,2.0-3.0,Task3
diary events  sender,3.0-4.0,Task4
document search finds private documents in the knowledge base,10.0-23.0,Task7
task system licence,0.0-1.0,Task1
sip management tasks  filing,1.0-2.0,Task2
task system reports need rolling out,3.0-4.0,Task4
task system reports need rolling out,3.0-4.0,Task4
shutdown  website and remove from sip servers,0.0-1.0,Task1
add an execute button for individual tasks in a block,2.0-3.0,Task3
allow superuser to retroactively enter effort,1.0-2.0,Task2
enhance task detail report,7.0-10.0,Task6
ensure rtfshadow copy is formatted correctly for reporting services,4.0-7.0,Task5
check in changes to the task system,4.0-7.0,Task5
unable to save task,0.0-1.0,Task1
users want to see orig ccysett ccy on ri policy scm linked tab,0.0-1.0,Task1
running scheduled tests on scms,23.0-100.0,Task8
new licence for  ,0.0-1.0,Task1
reinstall s laptop for developer use,3.0-4.0,Task4
add validation checks for signed before making read only,4.0-7.0,Task5
add validation checks for signed before making read only,4.0-7.0,Task5
line calculation throws an error when new lines are added in risk,10.0-23.0,Task7
line calculation throws an error when new lines are added in risk,10.0-23.0,Task7
line calculation throws an error when new lines are added in risk,10.0-23.0,Task7
backing up laptop to upgrade to win xp pro,1.0-2.0,Task2
release task system version ,1.0-2.0,Task2
scm line eventing  after adding new event users should be able to use it,0.0-1.0,Task1
release technical core into sourcesafe,0.0-1.0,Task1
debug xlsior outstanding export after first use in anger,0.0-1.0,Task1
templates still failing to load latest version,0.0-1.0,Task1
release technical core,0.0-1.0,Task1
release task system,0.0-1.0,Task1
 test warehouse build failed,0.0-1.0,Task1
reinstall   laptop with winxp,3.0-4.0,Task4
 conv entering bursigning to attatch to scm movements,4.0-7.0,Task5
enhance task release report,4.0-7.0,Task5
 lloyds snapshot data analysis,4.0-7.0,Task5
migrate   to new laptop,0.0-1.0,Task1
update licencing documentation for knowledge base,0.0-1.0,Task1
attatch sip operational information into knowledgebase,0.0-1.0,Task1
restructure task report hierarchy,0.0-1.0,Task1
reinstall  s test laptop with windows xp,4.0-7.0,Task5
enhance task daily effort report,3.0-4.0,Task4
ugd  document lan  wan connections,23.0-100.0,Task8
laptop upgrade,4.0-7.0,Task5
 message which was not loaded needs to be loaded,3.0-4.0,Task4
schedule task effort report to run automatically   and ,0.0-1.0,Task1
enhance task summary report,0.0-1.0,Task1
remove the add new buttons on event and uwrcorrection screens,1.0-2.0,Task2
create a business object for block entry,10.0-23.0,Task7
create a business object for block entry,10.0-23.0,Task7
 conversion script to push usm splits to scms,23.0-100.0,Task8
 full scm validation required as snapshot data has been merged with existing data,0.0-1.0,Task1
sync test databases to live,0.0-1.0,Task1
user support task,0.0-1.0,Task1
scms to hold up with new database schema,7.0-10.0,Task6
enhance weekly client task report,4.0-7.0,Task5
run new test warehouse builds for aug on production servers,0.0-1.0,Task1
need to identify data integrity error from ambiguous tsql error message,4.0-7.0,Task5
allow users to enter effort in the future if it is the nonattendance project,0.0-1.0,Task1
fixes errors in conv databases for ,2.0-3.0,Task3
merge  conv databases,1.0-2.0,Task2
analysis of why a particular dev stored procedure was not bringing back values,0.0-1.0,Task1
user support task  sort out talk to it dept validation errors on  live,0.0-1.0,Task1
adding new riskfull causes exception error,0.0-1.0,Task1
task field access corrupting,0.0-1.0,Task1
general september management tasks,10.0-23.0,Task7
arrowing within combos locks task,1.0-2.0,Task2
research server updates,4.0-7.0,Task5
riskusmriscm screens not releasing memory,23.0-100.0,Task8
riskusmriscm screens not releasing memory,23.0-100.0,Task8
adding children delete button disabled after add,0.0-1.0,Task1
deleting row causing unique constraint cause bo to die,0.0-1.0,Task1
minor admin  management tasks  september,23.0-100.0,Task8
integrate loader with scms,7.0-10.0,Task6
apply the syndicate line amount to the scm outstandings,2.0-3.0,Task3
save ok and warning messages,1.0-2.0,Task2
clarifying  requirements from users,0.0-1.0,Task1
create system sub system for maintainence reporting,7.0-10.0,Task6
arrange staff financial information for  ,0.0-1.0,Task1
enable exchange rates to be specified in figures books,1.0-2.0,Task2
reinstall  s laptop for developer use,3.0-4.0,Task4
investigate  s sql errors,2.0-3.0,Task3
new test warehouse statistics bug fixes ,1.0-2.0,Task2
sync user saved queries on live to test with parameter name changes,0.0-1.0,Task1
deploying new version of  to live,0.0-1.0,Task1
report form clears search parameters when you tab off them,3.0-4.0,Task4
waiting for stats drills  use hourglass cursor optionally allow cancel,0.0-1.0,Task1
document procedure for creating business object,2.0-3.0,Task3
visual studio playing up whilst switching cores in scms,2.0-3.0,Task3
fix centicurrency values in dev data,1.0-2.0,Task2
user support  setup   on scms  testexplain new triangles calcs,0.0-1.0,Task1
sip framework demonstration to  ,0.0-1.0,Task1
sip progress meeting,0.0-1.0,Task1
meeting with   looking at obstacles to  signoff,1.0-2.0,Task2
memo to   explaining contents of triangles etc,0.0-1.0,Task1
backing up  database to work locally to fix bug,0.0-1.0,Task1
new warehouse data integrity checks,0.0-1.0,Task1
investigate  gap and frame proposals to reconcile,4.0-7.0,Task5
test drilling on all live test databases,0.0-1.0,Task1
extend figures book reports see task ,4.0-7.0,Task5
scms licence for  ,0.0-1.0,Task1
 test system grinding to halt,0.0-1.0,Task1
checking data integrity and data cleansing of  converted data,23.0-100.0,Task8
figures book analysis for  to investigate data differences,10.0-23.0,Task7
converting raw oracle data in sqlserver ,23.0-100.0,Task8
sync  test scms warehouses,0.0-1.0,Task1
 user training,23.0-100.0,Task8
 latest database releasescms test release with stats small fix,0.0-1.0,Task1
drilldown falls over with some in keys,1.0-2.0,Task2
aid   risk field accesschecking in latest risk developments to scms,0.0-1.0,Task1
working with   to solve a problem for  with report c,3.0-4.0,Task4
talkto   regarding usm split to scm split conversion issues,0.0-1.0,Task1
ugd  general consultancy etc,23.0-100.0,Task8
sync up scms on sourcesafe with current  database,3.0-4.0,Task4
sync up scms on sourcesafe with current  database,3.0-4.0,Task4
weekly developer  meeting,7.0-10.0,Task6
weekly developer  meeting,7.0-10.0,Task6
weekly developer  meeting,7.0-10.0,Task6
weekly developer  meeting,7.0-10.0,Task6
weekly developer  meeting,7.0-10.0,Task6
weekly developer  meeting,7.0-10.0,Task6
rendering c report to excel,4.0-7.0,Task5
when doing one drill after another stats type fails to update,0.0-1.0,Task1
backup  sip new usm loader structureto shared area for developers ,0.0-1.0,Task1
sync  sip to  dev for developers to access latest version of db,>100,Task9
sync  sip to  dev for developers to access latest version of db,>100,Task9
daily server checks,0.0-1.0,Task1
investigate xxx s pop errors,1.0-2.0,Task2
user support   scms setup for  user,0.0-1.0,Task1
fixing some issues in the  usm narrative regarding line numbers,2.0-3.0,Task3
fixing some issues in the  usm narrative regarding line numbers,2.0-3.0,Task3
scms  stats update tests,0.0-1.0,Task1
add weekly aggregate section on daily task reports so one early day is seen in context,1.0-2.0,Task2
update live servers with latest security patches,1.0-2.0,Task2
documenting block functionality,0.0-1.0,Task1
